年度,國家,品項,類別,重量,價值
104,MY, Gou Chi T'zu (Fructus Llycii),O,581,149
104,HK, Gou Chi T'zu (Fructus Llycii),O,231,143
104,GB, Gou Chi T'zu (Fructus Llycii),O,250,125
104,BE, Gou Chi T'zu (Fructus Llycii),O,90,77
104,CL, Gou Chi T'zu (Fructus Llycii),O,196,76
104,US, Gou Chi T'zu (Fructus Llycii),O,70,58
104,AU, Gou Chi T'zu (Fructus Llycii),O,30,29
104,MO, Gou Chi T'zu (Fructus Llycii),O,18,23
104,NL, Gou Chi T'zu (Fructus Llycii),O,25,21
104,ES, Gou Chi T'zu (Fructus Llycii),O,6,5
104,PW, Gou Chi T'zu (Fructus Llycii),O,25,4
104,VN, Gou Chi T'zu (Fructus Llycii),O,14,4
104,ZA, Gou Chi T'zu (Fructus Llycii),O,3,1
104,HK," Chrysanthemum morifolium Ramat, dried",O,312,205
104,US," Chrysanthemum morifolium Ramat, dried",O,110,191
104,BR," Chrysanthemum morifolium Ramat, dried",O,95,82
104,JP," Chrysanthemum morifolium Ramat, dried",O,6,75
104,GB," Chrysanthemum morifolium Ramat, dried",O,44,55
104,BE," Chrysanthemum morifolium Ramat, dried",O,20,24
104,AU," Chrysanthemum morifolium Ramat, dried",O,9,20
104,MY," Chrysanthemum morifolium Ramat, dried",O,8,10
104,MO," Chrysanthemum morifolium Ramat, dried",O,7,10
104,CL," Chrysanthemum morifolium Ramat, dried",O,1,6
104,NL," Chrysanthemum morifolium Ramat, dried",O,4,5
104,ID," Chrysanthemum morifolium Ramat, dried",O,1,2
104,CA," Chrysanthemum morifolium Ramat, dried",O,1,1
104,BE," Peppermint,fresh or dried.",O,40,26
104,US," Peppermint,fresh or dried.",O,23,20
104,MY," Peppermint,fresh or dried.",O,"4,172",365
104,NL," Peppermint,fresh or dried.",O,22,14
104,AU," Peppermint,fresh or dried.",O,2,1
104,BR," Euryales,fresh or dried.",O,314,157
104,MY," Euryales,fresh or dried.",O,3,1
104,MY, Fiveleaf gynostemma,O,5,3
104,SG, Fiveleaf gynostemma,O,1,2
104,CN," Longan, otherwise prepared or preserved",O,55,12
104,JP," Longan, otherwise prepared or preserved",O,120,164
104,CA," Longan, otherwise prepared or preserved",O,"2,425",978
104,US," Longan, otherwise prepared or preserved",O,"4,128","1,522"
104,HK," Longan, otherwise prepared or preserved",O,267,89
104,MY," Longan, otherwise prepared or preserved",O,318,53
104,SG," Longan, otherwise prepared or preserved",O,318,45
104,AU," Longan, otherwise prepared or preserved",O,30,13
104,MY," Tortoise shell, Terrapin plastron (incl. for Chinese drugs)",O,1,2
104,HK, Lu Chiao Shuang (Cornu cervi degelatimatum) (incl. for Chinese drugs),O,"82,838","13,049"
104,AU, Lu Chiao Shuang (Cornu cervi degelatimatum) (incl. for Chinese drugs),O,2,3
104,BE, Lu Chiao Shuang (Cornu cervi degelatimatum) (incl. for Chinese drugs),O,3,2
104,US, Other arthropoda drugs,O,6,9
104,NL, Other arthropoda drugs,O,42,62
104,SG, Other arthropoda drugs,O,3,4
104,MY, Ti Lung (Lumbricus),O,1,3
104,HK, Pearls for medical use,O,18,54
104,MY," Pearls crushed or powder, for medical use",O,240,768
104,HK," Pearls crushed or powder, for medical use",O,41,197
104,BE," Pearls crushed or powder, for medical use",O,85,141
104,SG," Pearls crushed or powder, for medical use",O,30,102
104,CA," Pearls crushed or powder, for medical use",O,10,12
104,BE, Other invertebrates drugs,O,10,22
104,AT, Other invertebrates drugs,O,5,9
104,BE, Other vertebrates drugs,O,182,116
104,CH, Silkworm (incl. for Chinese drugs),O,10,36
104,MY," Arrowroot, fresh, chilled or dried",O,3,1
104,BE, Lu Chiao Chiao (Cervi Cornus Colla),O,5,4
104,HK," Bitter almonds, shelled, fresh or dried",O,13,5
104,MH," Bitter almonds, shelled, fresh or dried",O,1,2
104,PW," Ginkgo (white nuts), fresh or dried",O,72,2
104,US," Ginkgo (white nuts), fresh or dried",O,19,2
104,AT," Ginkgo (white nuts), fresh or dried",O,5,15
104,HK," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,960,382
104,MY," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,1592,460
104,SG," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,1975,587
104,CA," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,360,87
104,CL," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,75,28
104,AU," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,141,32
104,CN," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,121,25
104,BR," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,84,15
104,MO," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,40,20
104,US," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,7,4
104,BZ," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,74,5
104,VN," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,11,2
104,HK," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",O,"1,041",310
104,CA, Kuang Chu P'i (Citri Chachiensis Pericarpium),O,154,198
104,SZ," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",O,18,3
104,PW," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",O,3,2
104,ZA," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",O,105,20
104,US," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",O,4,8
104,US," Cinnamon and cinnamon-tree flowers, crushed or ground",O,"1,092","1,330"
104,MY," Cinnamon and cinnamon-tree flowers, crushed or ground",O,626,163
104,BR," Cinnamon and cinnamon-tree flowers, crushed or ground",O,"1,050",58
104,BE," Cinnamon and cinnamon-tree flowers, crushed or ground",O,35,45
104,CN," Cinnamon and cinnamon-tree flowers, crushed or ground",O,28,25
104,KH," Cinnamon and cinnamon-tree flowers, crushed or ground",O,9,7
104,AU," Cinnamon and cinnamon-tree flowers, crushed or ground",O,4,6
104,HK," Cloves (whole fruit, cloves and stems), neither crushed nor ground",O,45,2
104,US," Cloves (whole fruit, cloves and stems), crushed or ground",O,47,39
104,CA," Seeds of anise, crushed or ground",O,13,2
104,HK, Saffron,O,4,8
104,TT, Turmeric (curcuma),O,9,24
104,CN, Turmeric (curcuma),O,35,14
104,BE, Turmeric (curcuma),O,5,3
104,US, Turmeric (curcuma),O,433,431
104,MY, Turmeric (curcuma),O,22,12
104,NL, Turmeric (curcuma),O,5,3
104,SG, Mustard seeds,O,0,487
104,US, Mustard seeds,O,0,301
104,JP, Mustard seeds,O,0,53
104,XG, Mustard seeds,O,0,10
104,VN, Mustard seeds,O,0,8
104,NC, Mustard seeds,O,0,7
104,XK, Mustard seeds,O,0,5
104,AS, Mustard seeds,O,0,4
104,NL, Mustard seeds,O,0,4
104,NZ, Mustard seeds,O,0,2
104,US," Huo Ma Jen (Cannabis Fructus) for Chinese medicine use, without germinative activeness",O,0,9
104,HK," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,"19,638","180,771"
104,MY," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,"6,503","69,699"
104,JP," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,"4,104","44,708"
104,US," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,"3,079","29,711"
104,MO," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,"3,031","27,408"
104,RU," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,"2,639","22,922"
104,SG," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,"2,192","21,518"
104,AU," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,637,"6,062"
104,CA," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,540,"5,016"
104,BE," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",O,322,"1,647"
104,HK," Radix ginseng rubra (Korea) (incl. fibrous roots, stems, broken ginseng)",O,120,36
104,ZZ," Radix ginseng alba (Korea) (incl. fibrous roots, stems, broken ginseng)",O,91,"3,250"
104,BE, Pao Shen (American ginseng),O,1,2
104,US, Pao Shen (American ginseng),O,15,71
104,CA," Pao Shen Wei, Hsu, I Chung Shen (Radix ginseng)",O,814,42
104,BR, Other ginseng roots,O,54,168
104,BZ, Other ginseng roots,O,3,6
104,UY, Other ginseng roots,O,38,26
104,MY, Other ginseng roots,O,63,200
104,VN, Other ginseng roots,O,1,9
104,CN, Sandalwood,O,"44,645","8,304"
104,JP, Sandalwood,O,"21,859","1,662"
104,MY, Sandalwood,O,26,186
104,HK, Sandalwood,O,49,12
104,KR, Sandalwood,O,4,4
104,SG, Sandalwood,O,3,2
104,JP, Ch'en Hsiang (Lignum Aqailariae),O,"1,050","4,566"
104,SG, Ch'en Hsiang (Lignum Aqailariae),O,27,19
104,MY, Ch'en Hsiang (Lignum Aqailariae),O,3,8
104,US, Tu Chung (Cortex Eucommiae),O,418,353
104,BE, Tu Chung (Cortex Eucommiae),O,143,326
104,MY, Tu Chung (Cortex Eucommiae),O,29,23
104,JP, Fan Hsieh Yeh (Folium Sennae),O,82,128
104,US, T'u Fu Ling (Rhizoma Similacis Glabrae),O,8,6
104,MY, T'u Fu Ling (Rhizoma Similacis Glabrae),O,34,23
104,BR," China root, P'ing P'ien (Poria)",O,200,35
104,BE," China root, P'ing P'ien (Poria)",O,290,198
104,US," China root, P'ing P'ien (Poria)",O,154,115
104,MY," China root, P'ing P'ien (Poria)",O,15,15
104,AU," China root, P'ing P'ien (Poria)",O,7,6
104,MO," China root, P'ing P'ien (Poria)",O,8,10
104,US," China root, Ch'ieh P'ien Szu (Poria)",O,153,149
104,BE," Fang Fu Ling, Fu Shen, P'i Fu Ling (Poria)",O,2,2
104,US," Fang Fu Ling, Fu Shen, P'i Fu Ling (Poria)",O,31,34
104,MY," Fang Fu Ling, Fu Shen, P'i Fu Ling (Poria)",O,1,1
104,NL," Fang Fu Ling, Fu Shen, P'i Fu Ling (Poria)",O,4,4
104,AU," Fang Fu Ling, Fu Shen, P'i Fu Ling (Poria)",O,1,1
104,BE, Ta Huang (Rhizoma Rhei),O,2,1
104,US, Ta Huang (Rhizoma Rhei),O,171,121
104,NL, Ta Huang (Rhizoma Rhei),O,2,1
104,AU, Ta Huang (Rhizoma Rhei),O,2,2
104,US, Huang Lien (Rhizoma Coptidis),O,"1,200",783
104,BE, Huang Lien (Rhizoma Coptidis),O,59,117
104,AU, Huang Lien (Rhizoma Coptidis),O,3,6
104,US, Ch'uan Kung (Rhizoma Ligustici Wallichii),O,667,649
104,BE, Ch'uan Kung (Rhizoma Ligustici Wallichii),O,128,108
104,MY, Ch'uan Kung (Rhizoma Ligustici Wallichii),O,25,23
104,NL, Ch'uan Kung (Rhizoma Ligustici Wallichii),O,19,15
104,BR, Ch'uan Kung (Rhizoma Ligustici Wallichii),O,30,14
104,AU, Ch'uan Kung (Rhizoma Ligustici Wallichii),O,4,4
104,BE, Pai Chu (Rhizoma Atractylodis Macrocephalae),O,501,484
104,US, Pai Chu (Rhizoma Atractylodis Macrocephalae),O,578,484
104,BR, Pai Chu (Rhizoma Atractylodis Macrocephalae),O,60,11
104,NL, Pai Chu (Rhizoma Atractylodis Macrocephalae),O,12,11
104,MY, Pai Chu (Rhizoma Atractylodis Macrocephalae),O,21,8
104,AU, Pai Chu (Rhizoma Atractylodis Macrocephalae),O,5,6
104,BE, Wo Shu (Rhizoma Zedoariae),O,121,75
104,US, Wo Shu (Rhizoma Zedoariae),O,44,29
104,US, Kao Liang Chiang (Rhizoma Alpiniae Officinari),O,1,1
104,BE, Pan Hsia (Tuber Pinelliae),O,178,323
104,US, Pan Hsia (Tuber Pinelliae),O,68,134
104,MY, Pan Hsia (Tuber Pinelliae),O,17,33
104,NL, Pan Hsia (Tuber Pinelliae),O,20,36
104,AU, Pan Hsia (Tuber Pinelliae),O,1,2
104,MO, Pan Hsia (Tuber Pinelliae),O,3,3
104,CH, T'ien Ma (Rhizoma Gastrodiae),O,135,300
104,BE, Chih Mu (Rhizoma Anemarrhenae),O,94,92
104,US, Chih Mu (Rhizoma Anemarrhenae),O,57,54
104,MY, Chih Mu (Rhizoma Anemarrhenae),O,3,2
104,NL, Chih Mu (Rhizoma Anemarrhenae),O,17,16
104,CH, Chih Mu (Rhizoma Anemarrhenae),O,10,18
104,AU, Chih Mu (Rhizoma Anemarrhenae),O,3,4
104,BE, Niu Hsi (Achyranthis Radix) Ch'uan Niu T'ou Tu Niu Ch'i (Radix Cyathulae),O,114,80
104,US, Niu Hsi (Achyranthis Radix) Ch'uan Niu T'ou Tu Niu Ch'i (Radix Cyathulae),O,80,57
104,MY, Niu Hsi (Achyranthis Radix) Ch'uan Niu T'ou Tu Niu Ch'i (Radix Cyathulae),O,20,14
104,NL, Niu Hsi (Achyranthis Radix) Ch'uan Niu T'ou Tu Niu Ch'i (Radix Cyathulae),O,35,24
104,CH, Niu Hsi (Achyranthis Radix) Ch'uan Niu T'ou Tu Niu Ch'i (Radix Cyathulae),O,10,17
104,US, Ch'ai Hu (Radix Bupleuri),O,984,819
104,BE, Ch'ai Hu (Radix Bupleuri),O,37,45
104,CH, Ch'ai Hu (Radix Bupleuri),O,10,23
104,AU, Ch'ai Hu (Radix Bupleuri),O,12,19
104,MY, Ch'ai Hu (Radix Bupleuri),O,10,12
104,MO, Ch'ai Hu (Radix Bupleuri),O,3,1
104,BR, Pai Shau (Radix Paeonige Alba),O,60,14
104,US, Pai Shau (Radix Paeonige Alba),O,196,149
104,MY, Pai Shau (Radix Paeonige Alba),O,30,8
104,US, Huang Ch'in (Radix Scutellariae),O,552,644
104,BE, Huang Ch'in (Radix Scutellariae),O,465,296
104,NL, Huang Ch'in (Radix Scutellariae),O,60,37
104,MY, Huang Ch'in (Radix Scutellariae),O,12,8
104,AU, Huang Ch'in (Radix Scutellariae),O,8,7
104,US, Tan Shen (Radix Salvia Multiorrhiza),O,348,448
104,BE, Tan Shen (Radix Salvia Multiorrhiza),O,201,191
104,MY, Tan Shen (Radix Salvia Multiorrhiza),O,21,14
104,NL, Tan Shen (Radix Salvia Multiorrhiza),O,12,11
104,MO, Tan Shen (Radix Salvia Multiorrhiza),O,5,2
104,US, Hsuan Sheng (Yuang Sheng) (Radix Scrophulariae),O,281,238
104,MY, Hsuan Sheng (Yuang Sheng) (Radix Scrophulariae),O,6,2
104,NL, Hsuan Sheng (Yuang Sheng) (Radix Scrophulariae),O,2,1
104,AU, Hsuan Sheng (Yuang Sheng) (Radix Scrophulariae),O,3,3
104,BE, Pei Sa Sheng (Radix Glehniae),O,52,53
104,US, Pei Sa Sheng (Radix Glehniae),O,9,11
104,MY, Pei Sa Sheng (Radix Glehniae),O,3,2
104,NL, Pei Sa Sheng (Radix Glehniae),O,26,27
104,US, Ti Huang (Radix et Rhizoma Rehmanniae),O,"1,316",997
104,BE, Ti Huang (Radix et Rhizoma Rehmanniae),O,930,640
104,MY, Ti Huang (Radix et Rhizoma Rehmanniae),O,489,113
104,BR, Ti Huang (Radix et Rhizoma Rehmanniae),O,120,24
104,NL, Ti Huang (Radix et Rhizoma Rehmanniae),O,27,17
104,AU, Ti Huang (Radix et Rhizoma Rehmanniae),O,5,5
104,MO, Ti Huang (Radix et Rhizoma Rehmanniae),O,4,1
104,BE, Huang Chi (Radix Astragali),O,774,779
104,US, Huang Chi (Radix Astragali),O,390,276
104,MY, Huang Chi (Radix Astragali),O,273,96
104,BR, Huang Chi (Radix Astragali),O,162,78
104,CA, Huang Chi (Radix Astragali),O,66,60
104,HK, Huang Chi (Radix Astragali),O,301,60
104,SG, Huang Chi (Radix Astragali),O,205,19
104,NL, Huang Chi (Radix Astragali),O,8,8
104,CL, Huang Chi (Radix Astragali),O,4,7
104,AU, Huang Chi (Radix Astragali),O,4,5
104,PW, Huang Chi (Radix Astragali),O,5,1
104,MO, Huang Chi (Radix Astragali),O,4,1
104,MY, I T'iao Ken (Radix Moghaniae),O,17,9
104,BR, Fang Feng (Radix Ledebouriellae),O,30,9
104,BE, Fang Feng (Radix Ledebouriellae),O,212,247
104,US, Fang Feng (Radix Ledebouriellae),O,47,52
104,MY, Fang Feng (Radix Ledebouriellae),O,13,29
104,NL, Fang Feng (Radix Ledebouriellae),O,12,13
104,CH, Fang Feng (Radix Ledebouriellae),O,20,34
104,BE, Tang K'uei (Radix Angelicae Sinensis),O,"1,215","1,680"
104,US, Tang K'uei (Radix Angelicae Sinensis),O,76,120
104,BR, Tang K'uei (Radix Angelicae Sinensis),O,170,118
104,CA, Tang K'uei (Radix Angelicae Sinensis),O,109,108
104,MY, Tang K'uei (Radix Angelicae Sinensis),O,36,43
104,AU, Tang K'uei (Radix Angelicae Sinensis),O,4,7
104,SZ, Tang K'uei (Radix Angelicae Sinensis),O,6,4
104,DO, Tang K'uei (Radix Angelicae Sinensis),O,1,2
104,PW, Tang K'uei (Radix Angelicae Sinensis),O,6,1
104,BE, Tang Sheng (Codonopsitis Pilosulae Radix),O,118,139
104,ZA, Tang Sheng (Codonopsitis Pilosulae Radix),O,72,30
104,US, Tang Sheng (Codonopsitis Pilosulae Radix),O,62,91
104,MY, Tang Sheng (Codonopsitis Pilosulae Radix),O,107,33
104,NL, Tang Sheng (Codonopsitis Pilosulae Radix),O,4,4
104,MO, Tang Sheng (Codonopsitis Pilosulae Radix),O,1,1
104,US," Putchuck, old (Radix Saussureae)",O,"2,084",181
104,US, Hsin I (Flos Magnoliae Liliforae),O,"1,030",897
104,BE, Hsin I (Flos Magnoliae Liliforae),O,60,82
104,MY, Hsin I (Flos Magnoliae Liliforae),O,5,7
104,NL, Hsin I (Flos Magnoliae Liliforae),O,5,7
104,AU, Hsin I (Flos Magnoliae Liliforae),O,2,3
104,US, Suan Tsao Jen (Semen Zizyphi Spinosae),O,823,798
104,MY, Suan Tsao Jen (Semen Zizyphi Spinosae),O,32,54
104,BR, Suan Tsao Jen (Semen Zizyphi Spinosae),O,30,29
104,CN, Lo Han Kuo (Momordicae Fructus),O,3,1
104,BR, Lo Han Kuo (Momordicae Fructus),O,96,34
104,US, Lo Han Kuo (Momordicae Fructus),O,6,9
104,MY, Ta Fu P'i (Pericarpium Arecae),O,5,4
104,US, Liquorice roots,O,"1,068",924
104,JP, Liquorice roots,O,"8,100",580
104,BE, Liquorice roots,O,678,488
104,MY, Liquorice roots,O,564,213
104,BR, Liquorice roots,O,60,20
104,AU, Liquorice roots,O,8,8
104,NL, Liquorice roots,O,2,1
104,CN," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"6,424","1,918"
104,JP," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"59,895","10,516"
104,BE," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"7,340","7,272"
104,IL," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,68,182
104,CA," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"2,598","2,431"
104,ID," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,32,70
104,BD," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,6,1
104,FR," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,50,548
104,US," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"36,667","38,761"
104,GB," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"6,008","4,633"
104,HK," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"33,614","42,542"
104,TH," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,77,131
104,PE," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,79,89
104,NZ," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,488,470
104,MY," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"16,568","18,271"
104,NL," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"22,864","31,000"
104,PH," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,68,17
104,VN," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,3,1
104,AT," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"12,064","9,565"
104,SG," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"2,396","3,133"
104,CH," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,"2,946","5,382"
104,AU," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,871,158
104,MO," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",O,174,67
104,BE, Myrrh gum,O,64,44
104,US, Myrrh gum,O,579,487
104,MY, Myrrh gum,O,6,3
104,NL, Myrrh gum,O,16,11
104,BE, Olibanum gum,O,6,4
104,US, Olibanum gum,O,3,3
104,MY, Olibanum gum,O,6,4
104,US, Shen Chu,O,7,7
104,NL, Shen Chu,O,5,6
104,JP," Borneol, champhor baroos",O,"11,047","9,352"
104,HK," Hominis placenta, dried",O,"4,390","3,750"
104,BE, A Chiao (Corii Asini Colla),O,46,116
104,NL, A Chiao (Corii Asini Colla),O,14,36
104,CA," Other gingers, neither crushed nor ground",O,73,61
104,NI," Other gingers, neither crushed nor ground",O,52,8
104,AR," Other gingers, neither crushed nor ground",O,24,24
104,ZA," Other gingers, neither crushed nor ground",O,136,9
104,KR," Other gingers, neither crushed nor ground",O,28,1
104,US," Other gingers, neither crushed nor ground",O,94,59
104,MY," Other gingers, neither crushed nor ground",O,"1,263",500
104,FJ," Other gingers, neither crushed nor ground",O,36,1
104,SG," Other gingers, neither crushed nor ground",O,279,54
104,GU," Other gingers, neither crushed nor ground",O,"1,150",53
104,TT," Other gingers, crushed or ground",O,42,120
104,CN," Other gingers, crushed or ground",O,351,139
104,JP," Other gingers, crushed or ground",O,216,274
104,BE," Other gingers, crushed or ground",O,29,19
104,CA," Other gingers, crushed or ground",O,64,58
104,BN," Other gingers, crushed or ground",O,10,35
104,US," Other gingers, crushed or ground",O,613,478
104,HK," Other gingers, crushed or ground",O,"7,868","1,893"
104,MY," Other gingers, crushed or ground",O,735,292
104,NL," Other gingers, crushed or ground",O,10,6
104,CL," Other gingers, crushed or ground",O,7,2
104,AU," Other gingers, crushed or ground",O,112,47
104,MO," Other gingers, crushed or ground",O,7,10
104,US, Tse Pei Mu (Bulbus Fritillariae Thunbergii),O,792,776
104,MY, Tse Pei Mu (Bulbus Fritillariae Thunbergii),O,9,13
104,AT, Tse Pei Mu (Bulbus Fritillariae Thunbergii),O,1,7
104,NL, Tse Pei Mu (Bulbus Fritillariae Thunbergii),O,6,6
104,BE, Tse Pei Mu (Bulbus Fritillariae Thunbergii),O,7,5
104,MO, Tse Pei Mu (Bulbus Fritillariae Thunbergii),O,1,1
